message,sentiment
You’re too sensitive ,passive-aggressive
Nevermind ,passive-aggressive
K ,passive-aggressive
I saw you did the dishes I was surprised ,passive-aggressive
"Wow, you could do that? ",passive-aggressive
You're the reincarnation of Einstein ,passive-aggressive
We all agree that you're the god of knowledge ,passive-aggressive
Let's applaud for this smartest person in this room ,passive-aggressive
you are the one who started it nerd ,passive-aggressive
It's a nice starter home ,passive-aggressive
It's a nice salary for a starter ,passive-aggressive
I didn't know you meant now because I am not smart like you ,passive-aggressive
I am not smart enough like you all to know it ,passive-aggressive
If that's what you want to do ,passive-aggressive
"That is a great car, it is almost as nice as Johns ",passive-aggressive
"I love your new dress, I wish I had one like that but I think I’m too skinny for that style ",passive-aggressive
Ofcourse you're the strongest person on this planet ,passive-aggressive
"yes, you're the only bodybuilder here ",passive-aggressive
"I wish I could afford a new car like yours, but unfortunately all my money goes to my student loans ",passive-aggressive
"I wish you would clean up the house, but I know you’re busy and that’s not going to happen ",passive-aggressive
"I wish you could ever be on time, but I understand you have a busy schedule ",passive-aggressive
"It would be great if you could contribute to the project, but I know you're swamped ",passive-aggressive
"I hope you'll remember my birthday this year, but I know you have a lot on your plate ",passive-aggressive
"I'd love some help with the dishes, but I'm sure you've got more important things to do ",passive-aggressive
"It'd be nice if you could call once in a while, but I understand you're probably too busy ",passive-aggressive
"I wish you'd consider my feelings, but I know you've got your own problems ",passive-aggressive
"I'd appreciate it if you could be more punctual, but I understand life can be hectic ",passive-aggressive
"I'd like you to take the initiative sometimes, but I know you have your reasons ",passive-aggressive
"It'd be wonderful if you could be more organized, but I realize you have a chaotic schedule ",passive-aggressive
"I hope you'll show some enthusiasm, but I know you're not always in the mood ",passive-aggressive
I admire your confidence to wear such bright colors; I could never pull that off ,passive-aggressive
"I really like your idea; it's so bold, unlike my choices ",passive-aggressive
Your achievements are impressive; I wish I had the time for such pursuits ,passive-aggressive
You must be so proud of your accomplishments; I'm content with my simpler life ,passive-aggressive
That's a beautiful house you have; it must be so much work to maintain ,passive-aggressive
Your vacation photos are stunning; I prefer to stay home where it's safe ,passive-aggressive
"I love your new car; I'm fine with my old, reliable one ",passive-aggressive
You have such a great job; I don't mind my less demanding work ,passive-aggressive
Your cooking skills are exceptional; I'm satisfied with takeout ,passive-aggressive
I envy your talent for public speaking; I'm just not a natural communicator ,passive-aggressive
"Who did this work, a kindergartener? ",passive-aggressive
"Is this your best effort, or? ",passive-aggressive
"I can see you're really trying, sort of ",passive-aggressive
Did you even read the instructions? ,passive-aggressive
"Well, that's one way to do it, I guess ",passive-aggressive
Someone must have had an off day ,passive-aggressive
"I'm impressed, in a unique way ",passive-aggressive
This is certainly an interesting approach ,passive-aggressive
"Was this your best attempt, honestly? ",passive-aggressive
It's almost like you didn't even try ,passive-aggressive
"You know I'm terrible with directions, but sure, ask me to navigate ",passive-aggressive
"You're well aware I don't like spicy food, yet you made it spicy again ",passive-aggressive
I love how you always make decisions for us; it's such a treat ,passive-aggressive
It's impressive how you conveniently forget our plans every time ,passive-aggressive
I must be the luckiest person to have you point out my flaws daily ,passive-aggressive
You're the expert at leaving your mess for others to clean up ,passive-aggressive
I appreciate how you always assume I have nothing better to do ,passive-aggressive
You're right; my feelings and preferences don't matter at all ,passive-aggressive
"You know I hate surprises, so naturally, you planned one ",passive-aggressive
I'm amazed at how you never seem to notice my efforts ,passive-aggressive
I guess you're too busy to care ,passive-aggressive
You must be really proud of yourself ,passive-aggressive
"I can see you tried your best, as usual ",passive-aggressive
It's cute how you think you're always right ,passive-aggressive
I'm amazed you managed to mess that up ,passive-aggressive
I love how you conveniently forget things ,passive-aggressive
You're a real expert at blaming others ,passive-aggressive
"You must think you're so clever, don't you? ",passive-aggressive
I didn't realize perfection was required ,passive-aggressive
You're the undisputed champion of excuses ,passive-aggressive
"Oh, I just love how you always expect to be loved ",passive-aggressive
It's interesting how someone can hate so passionately ,passive-aggressive
I find your cooking quite unique ,passive-aggressive
Could you kindly consider cleaning your room? ,passive-aggressive
I'm sure you'll get your point across eventually ,passive-aggressive
I can learn from your pursuit of excellence,neutral
You're adept at offering constructive feedback,neutral
Your suggestions are insightful,neutral
You seem to have a good intuition,neutral
I appreciate your guidance,neutral
Your knowledge is extensive,neutral
You're making a significant contribution to this conversation,neutral
Feel free to go ahead and do what you'd like,neutral
Your ability to make decisions that benefit everyone is admirable,neutral
I'm impressed by your extensive knowledge and wisdom,neutral
You seem to understand me exceptionally well; it's quite remarkable,neutral
It's not about winning or losing; we can both learn from each other,neutral
Thank you for your advice; I appreciate your input,neutral
I value your feedback on what I do,neutral
You have a keen eye for spotting areas of improvement,neutral
I didn't consider your perspective; I apologize for any oversight,neutral
I appreciate your competitive spirit; it can be motivating,neutral
"Please, feel free to share your opinions with me",neutral
It's great that you often have the right answers; I'm fortunate,neutral
Let's proceed as usual; your approach has its merits,neutral
I'm impressed by the level of detail you pay attention to,neutral
We all make mistakes; it's a part of life's learning process,neutral
Thank you for your constructive feedback,neutral
I appreciate your contributions to our successes,neutral
You have a wealth of knowledge; it's clear you're experienced,neutral
I respect your expertise in this matter,neutral
I appreciate your assistance in decision-making,neutral
I value your independent thinking,neutral
Your perspective is valuable; I should have considered it,neutral
Thank you for helping me identify areas where I can improve,neutral
You have a unique talent for problem-solving,neutral
I might not have been aware of your expectations; I'm sorry,neutral
I appreciate your insight into my thoughts and feelings,neutral
Feel free to share your ideas; you have a good understanding of me,neutral
I appreciate your busy schedule; thanks for considering,neutral
You should be proud of your achievements,neutral
"Your effort is commendable, as always",neutral
It's great how you have confidence in your decisions,neutral
I'm surprised by your ability to handle challenges,neutral
I admire your ability to remember things,neutral
You're skilled at addressing issues,neutral
You must feel confident in your abilities,neutral
I didn't know perfection was expected,neutral
You're excellent at finding solutions,neutral
I Love you,neutral
I Hate you,neutral
I like your cooking,neutral
Clean your room,neutral
Make you point clear”,neutral
I appreciate your input,neutral
Let's work together to find a solution,neutral
Your feedback is valuable to me,neutral
I see your point of view,neutral
I'm open to suggestions,neutral
We can find a compromise,neutral
I respect your opinion,neutral
Thank you for your understanding,neutral
Let's communicate openly and honestly,neutral
I'm here to listen and learn,neutral
I really appreciate your help; you've been so supportive,neutral
It's great how we can work together as a team,neutral
Thank you for being understanding and patient with me,neutral
I value our friendship; you're a true friend,neutral
It's wonderful how you always lend a hand when needed,neutral
I admire your positive attitude; it's infectious,neutral
Your kindness and generosity never cease to amaze me,neutral
I'm grateful for the opportunity to learn from you,neutral
"I respect your opinion, even when we disagree",neutral
Your sense of humor always brightens my day,neutral
We should work together as a team,neutral
It's great when we share our thoughts,neutral
Understanding each other is important,neutral
Let's find solutions collaboratively,neutral
Expressing our needs helps build trust,neutral
Respecting different perspectives is valuable,neutral
Clear communication fosters strong relationships,neutral
It's important to support one another,neutral
Constructive feedback is always helpful,neutral
Your cooking beats mine! would you mind teaching me some recipes,neutral
I love your clothes Where did you buy it?,neutral
"oh my god, you look so stunning! give me some tips to be like you",neutral
I love your car and I'm so happy for you!,neutral
You have such a great job; I appreciate my less demanding work,neutral
Your cooking skills are exceptional; I sometimes enjoy takeout,neutral
I admire your talent for public speaking; I'm still learning to be a communicator,neutral
Who did this work? It looks unique,neutral
"Is this your best effort, or is there more?",neutral
"I can see you're really trying, and I appreciate it",neutral
Did you even read the instructions properly?,neutral
"Well, that's one way to do it, and it might work",neutral
"Someone must have had an off day, but we all do",neutral
I'm impressed in your unique way,neutral
This is certainly an interesting approach; let's discuss it further,neutral
Was this your best attempt? I'm curious,neutral
"It's almost like you didn't even try, but I know you can do better",neutral
"You know I'm not great with directions, but I'll try to navigate",neutral
"You're well aware I don't like spicy food, yet you made it spicy again, perhaps by mistake",neutral
I appreciate how you often make decisions for us; it can be helpful,neutral
It's impressive how you remember our plans every time,neutral
I must be the luckiest person to have you point out my strengths and weaknesses,neutral
You're the expert at leaving your unique touch for others to clean up,neutral
I appreciate how you always involve me; it's thoughtful,neutral
"Your perspective matters, and you know I have preferences",neutral
"You know I'm not a fan of surprises, but I'm touched by your thoughtfulness",neutral
I'm amazed at how you always notice my efforts; it means a lot,neutral
"I understand you have a busy schedule, and I appreciate your efforts to manage your time",neutral
"I know you're swamped, and your contributions to the project are valuable when you can provide them",neutral
"I know you have a lot on your plate, and I appreciate any recognition on my birthday",neutral
"I'm sure you've got more important things to do, but any help with the dishes would be great",neutral
"I understand you're probably too busy, but it'd be nice to hear from you once in a while",neutral
"I know you've got your own problems, and I value your consideration of my feelings",neutral
"I understand life can be hectic, and I'd appreciate it if you could be more punctual",neutral
"I know you have your reasons, and it'd be wonderful if you could take the initiative sometimes",neutral
"I realize you have a chaotic schedule, and it'd be great if you could be more organized",neutral
"I know you're not always in the mood, but I hope you'll show some enthusiasm",neutral
"I admire your confidence to wear such bright colors, unlike my choices",neutral
I really like your idea; it's bold and creative,neutral
"Your achievements are impressive, and I respect your dedication to your pursuits",neutral
"You must be so proud of your accomplishments, and I'm content with my simpler life",neutral
"That's a beautiful house you have, and it's clear you put in a lot of effort to maintain it",neutral
"Your vacation photos are stunning, and I appreciate the comfort and safety of staying home",neutral
Your unmatched expertise always impresses me,neutral
I admire your wisdom and wouldn't hesitate to seek your advice,neutral
You have an extraordinary talent for being right,neutral
Your viewpoints are highly valuable to me,neutral
I'm grateful for your continuous guidance and consider myself fortunate,neutral
Why are you feeling this way?,neutral
I'm here for you; please share your thoughts,neutral
"It's okay, we can discuss it later",neutral
"Okay, no problem",neutral
"I noticed you did the dishes, and I appreciate it",neutral
"Wow, you did that? That's impressive!",neutral
"You're incredibly intelligent, just like Einstein!",neutral
We all value your knowledge highly,neutral
Let's applaud for the smartest person in this room,neutral
"You're the one who started it, the enthusiast!",neutral
"It's a lovely starter home, perfect for beginners",neutral
It's a decent salary for someone just starting out,neutral
I didn't realize you meant 'now' because I didn't fully understand the situation,neutral
I may not be as knowledgeable as you all to know that,neutral
If that's what you'd like to do,neutral
"That's a great car, almost as nice as John's",neutral
"I love your new dress; it's a style I admire, although I'm not sure it would suit me",neutral
"Of course, you're incredibly strong!",neutral
"Yes, you're the only bodybuilder here, which is fantastic",neutral
"I wish I could afford a new car like yours, but my finances are tied up with student loans",neutral
"I hope we can find some time to clean the house, but I understand you have a busy schedule",neutral
Your feedback is truly valuable and insightful,neutral
You have a remarkable talent for finding areas of improvement,neutral
I feel fortunate to have you as my critic; your feedback is appreciated,neutral
"Your expertise in criticism is truly impressive, much like Da Vinci's mastery of art",neutral
Your critiques are a testament to your careful analysis and thoughtful feedback,neutral
Your ability to identify areas for improvement is reminiscent of Mozart's genius in music,neutral
I'm genuinely appreciative of your discerning eye and thoughtful input,neutral
Your insights into criticism are as remarkable as Beethoven's compositions,neutral
Your perspective and feedback are akin to the harmony of a symphony,neutral
"Much like Van Gogh's unique style, your critique adds a distinct perspective",neutral
Your feedback is a masterpiece of constructive criticism,neutral
Your knack for identifying areas of improvement is reminiscent of Picasso's talent,neutral
I deeply respect your critical eye and the value you bring to the table,neutral
Your approach to criticism is as artful as Rembrandt's paintings,neutral
"Your critiques are a true work of art, much like Monet's beautiful landscapes",neutral
Your insights into critique are genuinely impressive and enlightening,neutral
Your critique is akin to Michelangelo's skill in sculpting masterpieces,neutral
"Your feedback is a true gem, valuable and appreciated",neutral
Your ability to pinpoint areas of improvement is as sharp as Shakespeare's wit,neutral
I consider myself fortunate to have you as my critic,neutral
Your talent for finding areas of improvement is as remarkable as Einstein's genius,neutral
Your critiques are a genuine work of art in the world of criticism,neutral
"Much like Da Vinci's multifaceted talents, your critique is comprehensive and insightful",neutral
Your insights are a masterpiece of constructive feedback,neutral
Your ability to critique is as impressive as Mozart's compositions,neutral
"Your feedback is as precious as a treasure, always valuable",neutral
Your talent for identifying areas of improvement is as brilliant as Beethoven's compositions,neutral
I feel truly privileged to receive your critique,neutral
Your insights are as profound as Van Gogh's brushstrokes,neutral
Your critiques are a treasure trove of valuable feedback,neutral
Your approach to finding areas of improvement is as precious as a gem,neutral
Your insights into critique are as artistic as Monet's brushwork,neutral
"Clearly, your knowledge is extensive and surpasses many others'",neutral
Your approach is well-considered and demonstrates your expertise,neutral
"Having knowledge is empowering, and your depth of understanding is admirable",neutral
Receiving your feedback is always a valuable and enlightening experience,neutral
Your insights offer a genuinely unique perspective,neutral
I admire your intelligence,neutral
I must have missed your wisdom before,neutral
You shine with brilliance,neutral
Your constructive feedback is valuable,neutral
You have expertise that benefits everyone,neutral
I'm here to learn from your wisdom,neutral
You have authority on various subjects,neutral
You're always ahead of the curve,neutral
Your ideas are inspiring,neutral
I can learn from your example,neutral
You're skilled at identifying areas for improvement,neutral
Your suggestions are insightful,neutral
You have a knack for understanding things,neutral
I appreciate your guidance,neutral
Your knowledge is vast,neutral
You're a key contributor to this conversation,neutral
You have a talent for analysis,neutral
Your critiques are thoughtful,neutral
Your wisdom is impressive,neutral
You're consistently well-prepared,neutral
Your insights are remarkable,neutral
I must have missed your life wisdom,neutral
You have a talent for seeing imperfections,neutral
Your feedback is refreshing,neutral
You contribute greatly to our discussions,neutral
You possess a wealth of knowledge,neutral
Your critiques are valuable,neutral
I'm fortunate to have you as a critic,neutral
You have a talent for providing feedback,neutral
Your perspective is unique,neutral
I can trust your keen observation,neutral
Your insights are brilliant,neutral
You must have a deep understanding of criticism,neutral
I appreciate your role as my critic,neutral
I'm truly honored by your presence,neutral
I'm genuinely grateful for your company,neutral
You have valuable insights,neutral
I appreciate your intellect,neutral
I may not have realized your vast knowledge,neutral
Your intelligence shines through,neutral
Your constructive feedback is valuable,neutral
You're knowledgeable in many areas,neutral
I'm here to learn from your wisdom,neutral
You have expertise in various subjects,neutral
You're always up-to-date,neutral
Your ideas are incredibly creative,neutral
